customer_key,customer_id,customer_name,customer_segment,start_date,end_date,is_current,customer_group
1,2,Janice Fletcher,Corporate,2012-05-28,,True,B2B
2,3,Bonnie Potter,Corporate,2010-07-07,,True,B2B
3,5,Ronnie Proctor,Home Office,2010-12-13,,True,B2C
4,6,Dwight Hwang,Home Office,2011-05-26,,True,B2C
5,7,Leon Gill,Home Office,2012-10-30,,True,B2C
6,8,Melanie Garner,Home Office,2012-12-25,,True,B2C
7,9,Lorraine Houston,Home Office,2012-12-25,,True,B2C
8,10,Meredith Norris Thomas,Home Office,2011-10-04,,True,B2C
9,11,Marcus Dunlap,Home Office,2010-08-15,,True,B2C
10,12,Kara Pace,Home Office,2012-02-24,,True,B2C
11,14,Gwendolyn F Tyson,Small Business,2010-05-12,,True,B2B
12,15,Timothy Reese,Small Business,2010-04-08,,True,B2B
13,16,Sarah Ramsey,Small Business,2010-02-12,,True,B2B
14,17,Florence Hsu Schwarz,Small Business,2011-04-20,,True,B2B
15,18,Laurie Hanna,Small Business,2010-05-15,,True,B2B
16,19,Jim Rodgers,Small Business,2010-05-21,,True,B2B
17,20,Marion Nolan Kaplan,Small Business,2012-05-31,,True,B2B
18,21,Tony Wilkins Winters,Small Business,2010-05-15,,True,B2B
19,23,Lynn Moss,Corporate,2011-11-11,,True,B2B
20,24,Edna Thomas,Corporate,2010-01-28,,True,B2B
21,25,Virginia Hardison,Corporate,2012-04-18,,True,B2B
22,26,Marguerite Kane,Corporate,2012-06-27,,True,B2B
23,27,Guy Gallagher,Corporate,2010-11-02,,True,B2B
24,28,Ronnie McNamara,Corporate,2011-01-22,,True,B2B
25,29,Elizabeth Walker,Corporate,2011-01-30,,True,B2B
26,31,Alice Capps,Corporate,2012-08-11,,True,B2B
27,32,Matthew Berman,Corporate,2010-02-22,,True,B2B
28,33,Ricky Hensley,Corporate,2010-06-15,,True,B2B
29,35,Milton Bland,Small Business,2012-11-27,,True,B2B
30,36,Ray Morgan,Small Business,2012-11-27,,True,B2B
31,37,Stacy Chandler,Small Business,2012-11-27,,True,B2B
32,39,Ian L O'Donnell,Corporate,2011-07-03,,True,B2B
