Order ID,Customer ID,Customer Name,Region,State or Province,City,Postal Code,Customer Segment,Order Priority,Ship Mode,Product Category,Product Sub-Category,Product Container,Product Name,Order Date,Ship Date,Discount,Unit Price,Discount Amount,Discount Price,Shipping Cost,Quantity
88525,2,Janice Fletcher,Central,Illinois,Addison,60101,Corporate,Not Specified,Regular Air,Office Supplies,Labels,Small Box,Avery 49,5/28/2012,5/30/2012,0.01,2.88,0.03,2.85,0.5,2
88522,3,Bonnie Potter,West,Washington,Anacortes,98221,Corporate,High,Express Air,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Liquid Accent™ Tank-Style Highlighters,7/7/2010,7/8/2010,0.01,2.84,0.03,2.81,0.93,4
88523,3,Bonnie Potter,West,Washington,Anacortes,98221,Corporate,Not Specified,Express Air,Office Supplies,Paper,Small Box,Xerox 1968,7/27/2011,7/28/2011,0.03,6.68,0.20,6.48,6.15,7
88523,3,Bonnie Potter,West,Washington,Anacortes,98221,Corporate,Not Specified,Regular Air,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme® Preferred Stainless Steel Scissors,7/27/2011,7/28/2011,0.01,5.68,0.06,5.62,3.6,7
88523,3,Bonnie Potter,West,Washington,Anacortes,98221,Corporate,Not Specified,Express Air,Technology,Telephones and Communication,Small Box,V70,7/27/2011,7/27/2011,0,205.99,0.00,205.99,2.5,8
88524,3,Bonnie Potter,West,Washington,Anacortes,98221,Corporate,Medium,Express Air,Office Supplies,Paper,Small Box,Xerox 194,11/9/2011,11/11/2011,0.09,55.48,4.99,50.49,14.3,37
88526,3,Bonnie Potter,West,Washington,Anacortes,98221,Corporate,Low,Delivery Truck,Technology,Office Machines,Jumbo Drum,Canon S750 Color Inkjet Printer,7/1/2013,7/8/2013,0.08,120.97,9.68,111.29,26.3,12
90193,5,Ronnie Proctor,West,California,San Gabriel,91776,Home Office,Not Specified,Delivery Truck,Furniture,Chairs & Chairmats,Jumbo Drum,Global Troy™ Executive Leather Low-Back Tilter,12/13/2010,12/15/2010,0.02,500.98,10.02,490.96,26,12
90197,5,Ronnie Proctor,West,California,San Gabriel,91776,Home Office,Low,Regular Air,Office Supplies,Paper,Small Box,Xerox 1930,5/12/2012,5/21/2012,0.08,6.48,0.52,5.96,6.81,18
90194,6,Dwight Hwang,West,California,San Jose,95123,Home Office,High,Regular Air,Office Supplies,Appliances,Small Box,Kensington 6 Outlet MasterPiece® HOMEOFFICE Power Control Center,5/26/2011,5/26/2011,0.01,90.24,0.90,89.34,0.99,16
90200,6,Dwight Hwang,West,California,San Jose,95123,Home Office,Critical,Regular Air,Office Supplies,Paper,Small Box,Xerox 21,12/29/2012,12/31/2012,0.07,6.48,0.45,6.03,6.6,4
90200,6,Dwight Hwang,West,California,San Jose,95123,Home Office,Critical,Regular Air,Office Supplies,Pens & Art Supplies,Wrap Bag,*Staples* Highlighting Markers,12/29/2012,12/31/2012,0.01,4.84,0.05,4.79,0.71,17
90200,6,Dwight Hwang,West,California,San Jose,95123,Home Office,Critical,Regular Air,Technology,Telephones and Communication,Wrap Bag,Accessory34,12/29/2012,12/31/2012,0.1,85.99,8.60,77.39,0.99,24
90198,7,Leon Gill,East,Massachusetts,Fall River,2724,Home Office,High,Regular Air,Office Supplies,Paper,Small Box,Xerox 1933,10/30/2012,10/31/2012,0.05,12.28,0.61,11.67,4.86,19
90199,8,Melanie Garner,East,New Hampshire,Bedford,3110,Home Office,Medium,Delivery Truck,Furniture,Bookcases,Jumbo Box,"Sauder Forest Hills Library, Woodland Oak Finish",12/25/2012,12/26/2012,0.08,140.98,11.28,129.70,36.09,5
90199,9,Lorraine Houston,East,New Jersey,Camden,8101,Home Office,Medium,Delivery Truck,Furniture,Tables,Jumbo Box,Riverside Furniture Stanwyck Manor Table Series,12/25/2012,12/27/2012,0.1,286.85,28.69,258.17,61.76,8
90195,10,Meredith Norris Thomas,East,New Jersey,Pennsauken,8109,Home Office,Critical,Regular Air,Office Supplies,Envelopes,Small Box,Park Ridge™ Embossed Executive Business Envelopes,10/4/2011,10/5/2011,0.06,15.57,0.93,14.64,1.39,14
90192,11,Marcus Dunlap,East,New Jersey,Roselle,7203,Home Office,Critical,Regular Air,Furniture,Office Furnishings,Small Pack,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",8/15/2010,8/17/2010,0.06,9.48,0.57,8.91,7.29,22
90196,12,Kara Pace,East,Rhode Island,Cranston,2907,Home Office,High,Regular Air,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Fiskars® Softgrip Scissors,2/24/2012,2/26/2012,0.04,10.98,0.44,10.54,3.37,8
86838,14,Gwendolyn F Tyson,Central,Minnesota,Prior Lake,55372,Small Business,Medium,Regular Air,Furniture,Office Furnishings,Small Box,Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock,5/12/2010,5/14/2010,0.09,78.69,7.08,71.61,19.99,16
86838,14,Gwendolyn F Tyson,Central,Minnesota,Prior Lake,55372,Small Business,Medium,Regular Air,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 321,5/12/2010,5/13/2010,0.08,3.28,0.26,3.02,2.31,7
86838,14,Gwendolyn F Tyson,Central,Minnesota,Prior Lake,55372,Small Business,Medium,Regular Air,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 351,5/12/2010,5/13/2010,0.05,3.28,0.16,3.12,4.2,4
86838,14,Gwendolyn F Tyson,Central,Minnesota,Prior Lake,55372,Small Business,Medium,Regular Air,Office Supplies,Rubber Bands,Wrap Bag,"OIC Colored Binder Clips, Assorted Sizes",5/12/2010,5/13/2010,0.05,3.58,0.18,3.40,1.63,4
86845,14,Gwendolyn F Tyson,Central,Minnesota,Prior Lake,55372,Small Business,Medium,Regular Air,Office Supplies,Paper,Small Box,Xerox 213,5/12/2013,5/13/2013,0.01,6.48,0.06,6.42,7.86,4
86837,15,Timothy Reese,East,New York,Smithtown,11787,Small Business,Critical,Regular Air,Office Supplies,Envelopes,Small Box,Grip Seal Envelopes,4/8/2010,4/9/2010,0,4.42,0.00,4.42,4.99,7
86839,15,Timothy Reese,East,New York,Smithtown,11787,Small Business,Medium,Regular Air,Office Supplies,Envelopes,Small Box,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",5/28/2010,5/28/2010,0.01,35.94,0.36,35.58,6.66,10
86840,15,Timothy Reese,East,New York,Smithtown,11787,Small Business,Medium,Regular Air,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 310,12/4/2011,12/6/2011,0.03,1.76,0.05,1.71,0.7,10
86841,15,Timothy Reese,East,New York,Smithtown,11787,Small Business,Medium,Regular Air,Office Supplies,Paper,Small Box,Xerox 1992,4/29/2012,5/1/2012,0.04,5.98,0.24,5.74,5.2,3
